Año,Exportaciones_FOB_USD_M,Geografía,Categoría,Unidad
1990,467.3,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
1991,534.6,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
1992,380.9,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
1993,436.3,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
1994,410.0,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
1995,628.1,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
1996,679.5,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
1997,707.1,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
1998,642.7,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
1999,578.7,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2000,633.1,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2001,568.1,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2002,504.6,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2003,555.1,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2004,565.1,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2005,564.3,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2006,589.9,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2007,692.9,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2008,649.1,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2009,673.3,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2010,645.5,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2011,934.9,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2012,837.6,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2013,829.1,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2014,922.1,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2015,896.9,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2016,868.3,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2017,"1,006.6",Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2018,"1,129.6",Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2019,"1,108.0",Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2020,906.3,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2021,"1,054.3",Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2022,"1,050.9",Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2023,811.2,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2024,776.9,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million
2025,749.7,Mexico,"Exports (fob) Fish, Crustaceans, Molluscs & Aquatic Invertebrates",USD million